Song,Date,Number of Plays
Emma,1922-04-05,104
Robinia,2002-10-22,625
Lily,2005-09-28,347
Hildegaard,1972-07-16,793
Edee,1949-05-26,830
Sherrie,1917-10-16,357
Ebonee,1903-07-27,654
Rubie,1953-02-06,270
Blondelle,2015-01-18,370
Nonnah,1975-09-09,45
Rozele,2002-01-26,493
Kamilah,1978-06-01,711
Lizzie,1969-08-11,819
Karolina,1966-09-13,562
Stacey,1976-03-15,417
Kamilah,2005-06-08,802
Nonnah,1998-07-16,513
Angela,2011-06-30,24
Basia,1969-01-05,294
Bernardine,1906-04-01,391
Ofilia,1916-05-26,851
Ekaterina,1919-09-28,652
Penelopa,1938-05-02,168
Heddie,1963-01-12,88
Charlena,2015-09-07,251
Mathilda,1998-08-30,903
Emmey,1942-10-18,396
Althea,1937-09-25,59
Alie,1988-04-01,58
Sean,1903-02-08,38
Marline,1910-01-10,198
Karlee,1908-08-05,91
Dede,2006-10-17,560
Orelia,2016-02-19,38
Audrie,1978-06-22,760
Emilia,1943-06-17,984
Patricia,1909-05-24,408
Kaia,1959-12-02,88
Lory,1900-03-31,39
Caryl,1964-11-30,205
Alejandra,1976-03-24,661
Oona,1956-08-02,711
Marnia,1990-01-15,217
Henriette,1916-05-20,718
Maurene,1936-09-24,708
Joceline,1990-06-08,814
Norine,1979-01-28,190
Rosaline,2000-07-11,849
Leanna,1977-07-18,815
Marti,1961-08-21,737
Drucie,1924-08-31,369
Karlee,1967-09-10,704
Myriam,1994-07-24,434
Diena,1949-09-29,870
Laure,1949-01-27,890
Gertrud,1964-11-14,990
Melanie,1916-11-07,435
Shauna,1985-02-14,939
Justinn,1988-03-23,175
Wilma,1967-10-19,379
Alia,1968-09-11,900
Lila,1904-01-01,748
Bibby,1916-10-14,435
Annice,1978-08-22,538
Diena,1927-03-17,546
Bernardine,1987-07-21,444
Eadie,1976-02-03,651
Blake,2010-10-17,192
Roberta,1992-07-15,775
Codie,2015-02-11,999
Lynea,1906-10-17,146
Damaris,1964-09-09,318
Joelly,1940-06-18,140
Justinn,2005-02-03,254
Millie,1943-10-18,670
Ardys,1997-08-10,238
Amalie,1920-04-12,928
Roz,1996-06-17,951
Rosaline,2017-06-04,336
Donnie,1917-02-17,922
Lita,1958-11-15,144
Jemie,1949-11-22,163
Sissy,1926-09-03,207
Louella,1907-10-29,377
Basia,1936-06-02,615
Augustine,2002-10-01,550
Althea,1917-04-05,205
Drucie,1967-01-10,379
Molli,1913-01-23,810
Merry,1924-03-31,115
Valli,1928-08-15,59
Asia,1924-01-19,899
Mathilda,1965-10-14,511
Asia,1920-01-27,324
Chrystel,1981-10-17,284
Loree,1968-02-05,386
Jillayne,2006-08-02,640
Cissiee,1987-10-08,306
Beth,1985-08-12,636
Gabriellia,1927-04-17,681
Gisela,1970-05-18,805
Bobinette,1931-01-25,902
Deedee,1923-02-01,17
Letizia,1989-02-09,803
Jobi,1911-09-15,977
Nonnah,1976-05-11,158
Vinita,1917-11-10,749
Loree,1935-10-21,173
Cyb,1978-04-04,67
Mildrid,1983-08-17,448
Georgina,1915-04-26,655
Jan,2011-08-15,133
Krystle,1906-04-10,367
Fidelia,1930-10-21,777
Gerrie,1951-11-24,970
Robinia,1939-04-29,457
Cristine,2001-11-05,165
Leia,1907-11-03,651
Cyb,1936-09-16,968
Drucie,1916-01-03,633
Janey,1915-05-24,457
Linet,1977-07-21,887
Amelia,2010-02-26,469
Viviene,1955-12-28,45
Ivett,1967-07-30,710
Sibella,1941-03-10,464
Fina,2000-02-03,76
Raquela,1937-10-01,317
Cyb,1906-05-13,154
Gale,1911-12-16,432
Nariko,1969-10-18,241
Winny,1944-09-12,746
Gretal,1907-06-14,518
Jsandye,1955-07-22,499
Zondra,2014-01-17,412
Berta,1923-09-08,110
Maryellen,1967-07-15,453
Drucie,1933-06-10,311
Fina,1937-05-13,592
Janeczka,1954-04-19,742
Chandra,1909-06-29,416
Cherilyn,1994-02-27,313
Stacey,1962-07-04,787
Melina,2009-01-05,921
Veda,1928-03-08,873
Addia,1944-11-28,77
Max,1965-03-26,244
Gerianna,1940-02-17,596
Nerta,1925-09-23,538
Suzette,1957-02-15,459
Chandra,1914-07-15,710
Lynea,1935-04-25,36
Bobinette,2014-09-30,1
Amalie,1994-12-01,370
Deedee,1994-04-18,880
Gwenneth,1958-04-13,309
Maisey,1972-09-12,812
Keelia,1939-06-25,985
Celene,1938-02-04,361
Sharai,2001-06-05,761
Annora,1925-01-23,999
Sadie,1996-02-10,302
Robbi,1972-01-01,832
Lynde,1976-06-11,25
Clo,1938-02-11,777
Nannie,1927-01-16,576
Deirdre,1982-07-15,656
Emelina,1993-05-03,596
Gertrud,1988-03-29,470
Rosabelle,1953-05-29,215
Calla,1991-12-29,145
Dulce,1967-07-17,451
Marti,2001-10-08,936
Elvira,1934-05-17,292
Malina,1924-02-16,438
Nonnah,1950-10-04,440
Chrystel,1956-12-17,106
Kristan,1942-11-02,945
Sharlene,1916-03-28,866
Ernesta,2010-05-26,296
Orelia,2011-12-25,723
Hope,1990-08-21,941
Hayley,2001-10-02,472
Rhoda,2010-04-27,906
Marguerite,1994-10-13,422
Claudina,2019-08-19,988
Ethel,1986-12-24,549
Damaris,1958-01-28,832
Pamella,1918-02-22,448
Maurene,1996-02-25,790
Rivalee,1932-03-23,64
Christal,1908-08-29,986
Morganica,1939-02-02,6
Petronia,1981-08-20,104
Kassey,1938-06-25,140
Cam,1901-02-25,681
Basia,2012-04-05,850
Daphne,1904-02-10,715
Yvonne,1965-10-21,200
Courtnay,1982-11-09,454
Gui,1995-10-05,644
Felice,1929-03-18,52
Doro,2004-08-03,97
Janey,1925-06-10,910
Gusella,2013-10-26,683
Corly,2016-01-02,527
Reeba,1957-04-28,431
Sindee,1920-08-21,691
Lanae,1996-04-09,13
Celene,1992-10-10,822
Ellette,2005-04-15,530
Bill,1924-07-30,253
Zsa Zsa,2013-01-03,738
Merle,1960-11-25,377
Amalie,1920-12-30,908
Teriann,1944-05-14,468
Alleen,1933-11-29,860
Belva,2010-02-07,268
Viviene,1969-06-26,802
Aimil,1957-04-21,874
Christian,1914-03-24,901
Meriel,1902-02-10,163
Tatiania,2017-02-01,224
Nananne,1915-06-04,323
Melanie,1916-05-15,383
Olwen,2015-08-26,321
Rayna,2010-09-28,318
Belva,1934-07-01,880
Aili,2006-02-02,309
Atlanta,1933-01-10,946
Corry,1927-10-13,904
Tera,1958-06-15,367
Selia,1966-09-01,567
Ann-Marie,1976-02-26,187
Chickie,1966-01-01,378
Aaren,1960-09-01,498
Alejandra,1962-06-27,376
Regina,1924-05-31,963
Phylis,2015-02-02,844
Gloria,1956-10-21,816
Winifred,1913-05-14,744
Penelopa,1913-06-29,258
Joelly,1982-01-13,283
Louella,1995-06-03,957
Beverley,1988-05-07,495
Ekaterina,1908-07-29,468
Minne,1960-07-31,261
Reeba,1963-04-14,516
Teriann,1988-11-06,926
Molli,1983-04-03,805
Phylis,1947-07-03,660
Nerta,1910-07-09,101
Justinn,1977-09-17,626
Wendi,1963-05-28,143
Briney,1930-02-09,823
Elbertina,1975-08-16,611
Genevra,1914-12-26,268
Paule,2001-12-13,460
Lynea,1965-08-25,499
Flo,2011-06-14,809
Clo,1956-10-19,569
Elora,1904-10-04,821
Flo,1990-11-15,727
Nikki,1940-07-14,520
Hettie,1969-07-07,602
Jessamyn,1944-06-18,481
Mireielle,1900-03-03,560
Clary,1988-11-19,912
Tami,1914-02-13,728
Nikki,1981-12-01,244
Tina,1983-10-30,512
Giustina,1936-04-15,84
Nataline,1947-03-28,836
Maud,1907-06-14,441
Gavrielle,1918-10-24,563
Brianna,1913-01-27,746
Kittie,1958-02-07,110
Brynna,1923-09-13,678
Carly,1955-05-04,175
Cherilyn,1901-12-27,377
Cecile,1953-07-19,767
Sean,2008-03-11,359
Taffy,1982-06-10,182
Anica,2002-04-20,802
Keelia,1929-02-13,205
Jasmina,1910-06-10,94
Emilia,1918-03-07,630
Clarice,1981-05-18,380
Jordan,1930-08-15,866
Mady,1994-10-07,393
Sallie,1985-05-21,170
Hope,1930-08-05,155
Cherrita,1942-01-21,888
Molli,1996-06-22,878
Pierette,1993-10-23,419
Marti,1958-03-04,216
Alia,1942-07-13,961
Juliane,1955-09-08,802
Kellen,1977-09-02,529
Ursulina,1998-03-13,702
Genevra,1960-03-28,876
Dode,2018-10-01,420
Sybille,1905-08-29,816
Clementine,1941-07-17,147
Gwenneth,1990-01-24,335
Roxane,1969-02-15,209
Laurene,2014-03-17,501
Annabela,1983-04-22,773
Margarette,1968-03-27,893
Deloria,1985-04-29,358
Mureil,1994-04-08,708
Theodora,2007-03-26,62
Merci,2001-04-18,33
Frances,1999-09-17,444
Moyna,1954-04-07,690
Vivia,1979-11-20,817
Tera,1979-03-16,908
Romona,1902-03-12,730
Berget,1902-10-31,678
Steffane,1981-02-09,215
Kirbee,1991-01-21,159
Jean,1980-10-06,376
Ardenia,1968-08-16,150
Fredericka,2007-08-29,801
Annaliese,1978-02-13,247
Hettie,1972-09-14,1000
Caritta,1924-08-09,872
Candi,2015-02-28,399
Clo,1967-02-01,329
Kelly,1953-02-10,773
Mary,1960-02-26,423
Ezmeralda,1979-03-03,308
Kamilah,1987-06-30,262
Eugine,1947-02-11,332
Nariko,1900-11-29,885
Tamqrah,1995-08-22,305
Charmaine,2008-11-01,124
Olivette,1922-11-07,975
Queenie,1997-07-29,13
Emmey,1982-03-15,77
Cristine,1992-05-22,448
Ellette,1950-11-20,272
Giustina,1987-10-30,201
Rosene,1916-10-09,394
Tabbatha,1996-12-09,270
Cathie,1986-04-03,19
Olivette,2018-09-28,502
Cam,2007-10-31,616
Ashlee,1996-04-25,656
Joleen,1931-08-12,256
Marita,2003-09-09,986
Flory,1959-11-06,992
Ruthe,1925-11-09,300
Rhoda,1995-08-16,226
Mireielle,1969-02-14,698
Estell,1973-05-03,529
Daune,1975-09-12,463
Vere,1948-03-29,958
Meghann,2000-08-12,873
Charlena,1995-01-23,704
Roseline,1915-10-09,572
Lila,1908-06-01,804
Courtnay,1909-06-13,758
Livvyy,1978-03-11,611
Laurene,2012-02-27,277
Kerrin,1936-11-24,885
Roberta,1948-02-22,94
Stevana,1930-05-04,87
Daphne,1953-04-14,90
Agnese,1991-04-15,613
Dolli,1996-10-05,987
Cordi,1922-03-20,622
Lory,2011-04-09,128
Nannie,1964-01-15,894
Randa,1983-12-14,46
Caryl,1988-07-30,640
Sam,1987-07-15,643
Lesly,2007-08-28,603
Annora,1906-10-07,335
Raquela,1981-12-28,800
Kylynn,1991-10-24,824
Minne,1961-08-02,172
Doro,1944-01-24,792
Steffane,1971-04-18,213
Cathyleen,1932-01-02,87
Vevay,2012-03-04,768
Elora,2006-04-12,143
Dyann,1952-06-26,615
Nessie,1990-07-22,863
Alleen,1902-03-16,542
Andeee,1966-04-07,88
Rivalee,1947-02-03,36
Beatriz,2015-10-26,398
Lenna,1963-07-31,357
Ardys,1979-12-21,246
Molli,1966-03-24,252
Augustine,1918-05-10,781
Leontine,1999-09-04,616
Ninnetta,1956-03-23,91
Antonietta,1963-09-11,681
Gerrie,2005-03-20,303
Daryl,1932-12-05,75
Tiffie,1952-02-18,719
Tilly,1949-01-29,212
Berta,1958-11-26,832
Kalina,1988-11-27,377
Cathyleen,1919-11-19,378
Dulce,1937-10-03,593
Danika,2002-05-21,310
Joane,1992-03-01,797
Carolina,1907-08-30,899
Tybie,2009-12-10,130
Michaelina,2007-05-01,827
Dyann,2012-01-26,331
Vanessa,1950-04-27,439
Carree,1907-03-17,203
Flo,1985-03-01,15
Cacilie,1994-09-26,326
Willetta,1990-07-13,713
Marsiella,1953-07-12,770
Talya,1993-02-26,216
Elena,1923-01-21,607
Bernie,2009-04-23,416
Alisha,1994-11-13,316
Carol-Jean,1977-08-12,137
Heida,1991-09-14,886
Jaclyn,1945-05-25,524
Pamella,1976-10-11,471
Laurene,1902-12-14,303
Valeda,1932-02-02,150
Bobbi,1962-06-04,890
Paola,2013-01-07,948
Tina,2000-10-17,256
Tani,1981-02-01,674
Nonnah,1961-03-06,756
Emma,1952-10-08,907
Raina,2019-03-28,215
Carree,2010-05-09,889
Lonnie,1999-05-31,783
Gusella,1926-09-13,47
Dale,1912-06-10,755
Jacquetta,1964-04-24,398
Raina,1923-05-21,231
Alia,1980-01-31,320
Hildegaard,1939-03-15,827
Melisent,1949-01-15,501
Nanete,1920-12-26,636
Kary,1932-10-30,235
Benita,1972-10-01,990
Meg,1932-09-26,822
Blake,1929-05-19,313
Janenna,1942-12-05,934
Tori,1912-11-01,589
Johna,2016-02-06,748
Bobinette,1945-02-08,215
Alie,1915-05-25,233
Kerrin,1997-09-03,170
Ernesta,1918-06-06,3
Benita,1958-01-31,505
Allyce,1956-05-24,515
Flory,2005-07-18,125
Cyb,2011-06-10,581
Noelle,1999-05-26,602
Imojean,1971-03-21,339
Jolyn,1948-09-16,655
Carilyn,1966-05-24,109
Nollie,1978-10-06,872
Elka,1971-08-04,879
Aryn,1988-07-09,268
Marsiella,1908-03-05,907
Alleen,1924-02-11,822
Vere,1960-02-13,706
Teriann,1948-07-28,333
Hope,1934-03-09,310
Jorry,1920-02-11,2
Tami,2014-12-24,55
Jordan,2002-03-21,318
Moyna,1996-06-21,356
Cathyleen,1978-08-04,712
Bettine,1940-04-04,776
Arabel,1951-02-14,162
Monika,1921-06-21,308
Lacie,1986-07-05,479
Jillayne,1968-11-21,345
Steffane,1918-09-17,934
Vita,1928-03-07,920
Dorothy,1961-08-04,535
Jordan,1955-11-05,383
Petronia,1976-10-08,328
Eugine,1909-10-18,378
Dagmar,1970-12-16,327
Ardenia,2003-05-13,694
Peri,2015-06-01,112
Jeanna,1931-07-23,1
Mellicent,1984-06-10,286
Marti,1969-07-08,694
Chastity,1993-09-01,9
Elsie,1989-01-25,883
Joleen,1946-12-12,746
Lyssa,1921-07-10,381
Doralynne,1935-05-16,618
Angelique,1901-07-16,902
Leanna,1922-04-22,388
Etta,2001-10-05,337
Melodie,1964-03-03,237
Sybille,2018-02-17,903
Sara-Ann,1962-02-05,155
Miquela,1939-11-04,551
Tabbatha,1929-11-02,199
Cathie,1974-03-06,815
Modestia,1901-04-13,316
Barbara,1967-06-09,768
Celene,1938-06-15,196
Ilse,1983-02-09,14
Ashlee,1925-07-13,931
Margarette,1967-10-13,12
Edyth,1902-01-25,854
Raina,1934-11-12,749
Sheree,2018-05-25,930
Morganica,1953-06-11,581
Chrystel,1943-02-11,302
Lexine,1990-09-10,807
Dode,1971-01-02,788
Nataline,1986-10-09,349
Myrtice,1904-11-09,683
Gui,1961-12-15,493
Ellette,1957-05-05,275
Candy,1914-12-11,881
Felice,1998-08-18,379
Jinny,1959-09-04,83
Annecorinne,1980-06-06,885
Dede,1939-04-05,872
Fayre,1982-10-26,299
Lesly,1925-03-06,396
Janeczka,1974-06-11,69
Teddie,1935-08-14,245
Florie,1945-10-30,795
Elena,1987-11-12,209
Elbertina,1988-02-12,388
Constance,2003-03-10,497
Odessa,1904-11-18,77
Rubie,2007-02-19,483
Tomasina,1920-04-18,708
Tani,2010-08-14,310
Janis,1952-02-04,555
Libbie,1945-08-29,898
Lexine,1905-06-05,910
Tamqrah,1970-02-01,967
Augustine,1963-01-28,471
Jordan,1929-08-23,482
Linzy,1969-08-04,624
Wileen,1910-05-06,947
Libbie,1981-02-05,650
Linet,1906-03-17,636
Stephanie,1961-08-16,167
Kirbee,1936-10-04,42
Nita,1999-07-04,130
Fayre,1997-12-16,635
Meg,2003-06-18,139
Belinda,1926-04-20,299
Gabi,2000-04-03,650
Elie,1951-07-20,137
Andree,2000-02-18,600
Leona,1938-02-20,380
Caryl,1994-08-02,349
Janey,1943-02-09,84
Charlena,1947-10-21,738
Merry,1909-10-23,865
Augustine,1963-05-05,235
Aili,1954-10-23,451
Adore,2004-06-18,378
Isa,1987-04-12,231
Lynnea,1976-07-05,822
Nonnah,1978-07-15,384
Nataline,2012-11-10,633
Madelle,1978-07-25,281
Asia,1902-10-09,385
Marsiella,1929-01-28,342
Florencia,1963-12-17,995
Ernesta,1906-11-11,803
Tobe,1970-03-16,327
Alex,2018-03-28,998
Ginnie,1920-10-01,796
Ivett,1900-10-13,22
Norine,1959-04-17,976
Sean,1978-04-24,996
Melisent,1975-06-16,490
Sindee,2013-08-24,380
Katharina,1909-09-25,514
Shirlee,1980-11-27,304
Meriel,1977-12-15,461
Arabel,1952-06-08,153
Emilia,1931-09-22,198
Penelopa,1903-11-04,606
Ileana,1950-12-10,360
Corene,2010-11-13,709
Karolina,1946-02-20,929
Bertine,1979-01-02,256
Sallie,1920-01-31,889
Viviene,1911-10-16,859
Doralynne,1948-05-22,382
Oralee,1950-09-05,424
Lolita,1977-12-10,40
Ellette,2014-10-13,829
Eve,1952-01-27,18
Adele,1907-02-16,566
Veda,1941-08-12,232
Lanna,1987-04-16,424
Bobinette,1941-04-10,7
Louella,1917-05-27,691
Wilma,2001-11-21,394
Shel,2003-02-24,311
Amelia,1974-03-17,414
Gabriellia,1920-01-25,290
Carilyn,2011-05-29,723
Janey,2006-04-05,924
Dania,2010-04-08,664
Perry,1965-04-23,173
Tersina,1985-01-18,366
Betta,1905-06-04,137
Rhea,1945-08-09,259
Brandise,1946-05-23,854
Andree,1986-10-25,275
Catharine,2013-05-20,340
Corene,2011-10-19,741
Lorenza,1953-05-23,982
Joane,1976-06-19,603
Siana,1908-05-17,464
Verla,1932-03-01,823
Lonnie,1963-05-15,627
Maye,1935-01-09,128
Frieda,1937-02-15,567
Jordan,1926-02-16,646
Selia,2015-03-15,459
Amii,1907-04-02,341
Pamella,1900-12-15,324
Carol-Jean,1944-12-13,110
Dominga,1982-10-03,572
Silvana,1955-02-02,36
Marnia,1945-08-15,228
Tilly,2018-09-18,493
Petronia,1926-10-12,511
Ashlee,1927-07-08,934
Linet,1999-08-25,33
Corry,2018-11-22,539
Jennica,1908-12-25,568
Michaelina,1985-08-30,501
Paulita,1904-10-04,754
Madalyn,1978-07-06,368
Sadie,2015-08-31,971
Ashlee,1952-02-25,40
Antonietta,1901-12-16,159
Kellen,1982-03-07,86
Abbie,2016-02-06,596
Lynnea,1978-04-04,988
Flory,1982-11-04,133
Janeczka,2007-01-21,563
Beverley,1970-04-04,873
Olivette,1992-01-05,298
Corene,1934-06-05,963
Gianina,1963-08-03,636
Imojean,1941-11-26,187
Max,1997-03-27,597
Margette,2009-07-13,919
Gaylene,2010-04-16,702
Jenilee,2018-06-26,885
Annice,1923-10-14,455
Harmonia,1900-02-04,706
Asia,2009-07-26,867
Marylou,1929-04-06,949
Jolyn,1927-08-10,719
Janenna,1954-02-15,737
Damaris,1956-07-03,392
Liana,1961-02-08,202
Dione,1965-08-29,906
Ethel,1924-07-03,630
Winifred,1901-03-13,144
Jennica,1940-09-24,945
Ketti,2010-10-11,543
Joelly,1937-04-19,1000
Bee,1948-03-25,364
Jackie,1910-10-27,879
Orsola,1959-08-14,652
Hollie,1990-09-07,797
Flo,1959-10-16,364
Molli,1996-11-23,689
Jeanna,1901-12-13,189
Belinda,1909-12-16,474
Caressa,1917-12-12,84
Agathe,1954-10-04,214
Henriette,1902-08-26,283
Robbi,1926-11-05,947
Miquela,1917-12-10,447
Ileana,1992-10-15,469
Emilia,1924-03-04,706
Ida,1937-10-10,565
Rhea,2013-11-23,389
Jennica,1907-11-14,352
Trixi,1936-08-07,750
Desirae,1974-06-21,97
Shauna,1940-11-28,878
Fidelia,1958-01-18,226
Basia,1966-09-14,905
Oralee,1966-05-13,304
Giustina,1917-09-11,426
Rosanne,1914-03-30,479
Dominga,1963-05-30,354
Lauryn,1948-07-05,436
Therine,1958-03-24,209
Nanete,1932-06-09,219
Zsa Zsa,2010-03-08,902
Priscilla,1924-05-20,964
Kellen,1957-04-24,56
Rozele,1969-06-20,971
Etta,1930-06-09,59
Sissy,1935-02-04,764
Esmeralda,1939-09-16,989
Leona,1989-09-21,135
Ricky,1916-05-21,105
Rebeca,1909-04-11,884
Carilyn,1941-06-21,142
Layla,2006-10-19,327
Alia,1980-06-09,117
Ariela,1935-12-11,124
Babita,1997-07-11,618
Veda,1961-09-19,775
Gisela,1921-06-16,943
Delilah,1902-07-14,818
Fredericka,1998-08-29,103
Latisha,1943-08-11,832
Fina,1942-03-21,158
Daphne,1976-01-26,896
Jennica,1966-11-11,405
Valera,2005-05-03,887
Annaliese,1915-09-04,50
Max,1947-07-04,210
Dode,1946-01-04,909
Edyth,1973-05-23,925
Fred,1942-10-18,628
Melisent,1968-07-06,712
Chloris,1959-07-23,51
Heddie,1907-09-27,756
Lanna,1961-03-12,781
Winny,1970-12-10,861
Briney,1987-05-14,233
Ingrid,1909-01-18,47
Alisha,1914-02-09,889
Micheline,1997-05-07,851
Modestia,1954-09-25,867
Lynnea,1996-03-05,825
Joceline,1984-07-25,633
Lonnie,1926-05-05,955
Debee,1950-03-14,50
Concettina,1981-07-31,528
Verla,1987-04-26,199
Alex,1994-12-24,45
Jenilee,1911-04-25,438
Doro,1929-12-06,134
Elena,2014-06-01,575
Trudie,1951-01-07,844
Abbie,1985-08-08,743
Alyssa,1941-01-01,991
Desirae,1915-04-30,950
Talya,1930-06-09,680
Caressa,1908-08-19,445
Gwyneth,1926-12-17,517
Reeba,1924-09-25,496
Vivia,1920-07-25,674
Pearline,2002-03-04,720
Raina,1957-06-11,904
Alia,1916-04-03,634
Dania,1959-05-09,603
Madelle,1948-09-01,577
Beth,2002-03-27,26
Amara,1939-07-12,375
Kara-Lynn,1903-03-24,36
Winifred,1962-09-05,632
Corina,1998-01-23,19
Max,1987-12-10,385
Lexine,1905-02-16,673
Tracey,1987-10-10,221
Ardenia,1978-01-23,27
Hettie,1926-05-20,430
Dennie,1944-08-10,982
Marline,1957-12-15,159
Fina,2014-09-25,327
Zaria,1951-03-17,384
Teddie,1955-09-28,261
Livvyy,1997-03-11,798
Elena,1959-11-14,179
Justinn,1949-09-04,599
Alex,1907-12-05,771
Fidelia,1932-02-12,488
Carmela,1989-05-27,991
Sibella,1908-02-02,325
Maridel,1993-05-11,351
Kassey,1945-07-31,886
Sissy,1989-06-24,505
Consuela,1920-03-01,320
Ira,2003-04-10,321
Camile,1915-05-12,99
Agathe,1985-08-22,483
Britte,2004-07-28,93
Shirlee,1966-01-14,542
Tomasina,1964-07-14,215
Phedra,2017-04-23,718
Margette,1969-05-21,344
Dolli,2012-02-17,617
Sybille,1950-05-08,897
Loree,1944-10-25,798
Jaclyn,1919-12-02,252
Amelia,1905-11-18,560
Bee,1983-02-13,609
Ingrid,1901-08-28,827
Dorice,1970-05-13,945
Janeczka,1938-04-01,956
Hermione,1939-10-26,32
Bibby,1945-10-29,110
Nicoli,1940-04-17,524
Myrtice,2003-06-18,81
Lucy,1951-11-17,230
Nataline,1961-11-23,710
Thalia,1928-01-19,238
Lesly,1998-12-22,941
Nikki,1987-08-16,112
Ottilie,1999-11-12,493
Wilma,1990-09-28,270
Roseline,2011-12-18,195
Fidelia,1968-10-24,20
Leona,1998-04-07,727
Millie,1989-01-29,657
Ermengarde,1997-11-25,901
Marita,1920-08-26,187
Viki,1986-11-24,308
Sadie,1929-10-27,317
Libbie,2015-12-01,7
Gale,1925-01-27,158
Dari,1969-05-24,626
Hayley,1985-01-22,132
Lanna,1928-03-13,491
Doro,1949-12-05,463
Ericka,2015-02-08,213
Frieda,2018-06-17,536
Ruthe,1961-11-25,55
Lynea,1920-08-03,182
Tonia,1979-06-17,78
Juliane,2000-10-18,531
Jenda,2017-01-10,953
Ottilie,1961-04-03,906
Deedee,2000-10-17,621
Arlina,2012-05-20,985
Carilyn,1938-02-15,343
Zia,1914-07-24,857
Emilia,1978-01-07,44
Merle,1949-02-02,663
Kristina,2003-08-21,849
Hope,2011-08-19,569
Jolyn,1989-05-21,967
Heida,1994-08-03,24
Cathyleen,2009-07-24,98
Florencia,1957-11-16,76
Nikki,1906-12-23,60
Tracey,1961-10-29,380
Suzette,1980-07-21,601
Morganica,1951-02-25,758
Kelly,2008-12-18,21
Tobe,1918-01-11,906
Jean,1924-06-25,55
Chloris,2005-04-07,117
Heddie,1980-05-25,15
Ethel,2016-10-29,902
Ana,1916-12-21,103
Kayla,1963-10-14,759
Tonia,1997-05-23,191
Jasmina,1924-02-01,375
Wilma,1919-06-20,33
Karly,1919-12-22,343
Robbi,1968-04-16,638
Belva,1943-03-23,700
Joane,1998-08-21,49
Noelle,1979-09-27,102
Corly,1906-02-28,859
Fidelia,1959-08-19,733
Tatiania,1916-10-25,20
Jsandye,2014-08-09,584
Merry,1999-01-26,50
Selia,1996-02-05,456
Maridel,1904-10-02,86
Shannah,1942-07-29,605
Betta,1988-01-02,640
Lulita,1907-08-08,969
Dorothy,1911-05-26,236
Renae,1987-02-10,898
Dotty,1916-06-26,519
Sean,2015-09-21,42
Robinia,1954-05-16,223
Ira,1939-12-20,211
Silvana,2006-10-28,330
Ebonee,1911-11-27,493
Frieda,1969-09-04,528
Esmeralda,1911-12-27,192
Fred,1933-11-18,308
Chandra,1966-03-15,964
Edyth,1958-06-10,563
Dorene,2006-05-21,355
Rayna,1923-06-19,31
Catharine,1960-07-04,708
Rayna,1933-02-27,566
Tami,1933-04-10,617
Correy,1999-01-19,552
Felice,2011-08-13,645
Merci,1900-12-04,200
Elvira,1940-03-12,753
Lisette,1928-03-23,121
Lusa,1949-03-21,990
Georgetta,1993-11-27,496
Margette,1975-12-19,561
Jessamyn,1965-04-01,443
Chere,1938-01-20,1000
Sara-Ann,2016-06-19,74
Di,2015-02-04,261
Carlie,1989-05-29,401
Ileana,1905-05-04,819
Lindie,1904-05-11,829
Helena,1945-12-05,388
Joceline,1985-01-01,379
Leanna,1988-01-16,527
Correy,1936-06-13,463
Priscilla,2000-05-09,514
Thalia,1915-05-08,424
Sharlene,1908-05-04,107
Lauryn,2006-05-26,389
Quintina,1913-03-31,927
Selia,1916-11-22,889
Ninnetta,1917-02-02,766
Fidelia,1988-01-28,121
Peri,2008-11-10,158
Georgina,1990-03-16,900
Debee,1996-05-09,979
Alex,1982-12-06,396
Therine,1917-02-15,679
Devina,1944-03-21,639
Hayley,1938-02-06,706
Carilyn,1929-05-28,436
Odessa,1971-05-07,918
Shaylyn,1924-05-01,331
Chandra,1910-03-13,749
Linzy,1941-08-04,339
Beatriz,2013-05-11,330
Dawn,2000-11-24,962
Lulita,1935-06-21,939
Leanna,1930-02-04,39
Nananne,2006-05-01,565
Nikki,2002-07-08,36
Ottilie,1975-10-28,938
Fred,1989-08-04,485
Fredericka,1951-05-18,16
Priscilla,1942-01-24,504
Gilligan,1975-11-24,239
Elka,1929-06-19,756
Briney,1919-01-26,544
Gusella,2002-09-08,853
Jenda,1928-08-02,580
Eolanda,1973-05-22,848
Lucille,1964-12-10,934
Andree,1927-02-23,227
Talya,1989-09-22,60
Selia,1971-10-27,335
Lorie,1984-10-11,842
Riannon,1988-05-19,441
Sadie,1949-09-25,506
Aimil,1999-01-08,771
Nanete,1925-10-20,37
Madeleine,1984-02-14,528
Etta,1919-08-24,531
Paulita,1981-12-11,72
Netty,1960-12-10,426
Rubie,1909-07-11,502
Karina,1993-12-07,13
Gianina,1913-08-04,176
Roseline,2005-03-03,245
Vevay,1973-06-16,914
Regina,1950-12-15,719
Dyann,2005-01-29,306
Di,1920-10-12,512
Claudina,1995-06-16,44
Feliza,1910-02-25,986
Olwen,2014-02-01,780
Adele,2017-02-12,400
Mary,1921-12-25,775
Beatriz,1913-06-19,125
Layla,1951-08-16,423
Nyssa,1987-10-27,768
Marline,1988-10-03,201
Carilyn,2007-07-23,110
Rori,2010-07-10,89
Ardenia,2011-04-08,988
Elka,1982-12-09,623
Susette,2014-09-22,87
Tilly,1979-08-16,965
Ardenia,1908-06-30,465
Raina,1927-06-20,199
