Song,Date,Total Number of Plays for Date
Myrtice,1950-12-10,424
Myrtice,1985-03-25,343
Myrtice,1991-03-27,360
Myrtice,1992-09-28,820
Myrtice,2003-06-18,81
Myrtice,2010-06-23,291
Nadine,1903-10-26,693
Nadine,1903-12-08,672
Nadine,1904-05-26,659
Nadine,1920-02-22,965
Nadine,1923-01-14,392
Nadine,1929-05-04,156
Nadine,1942-04-03,524
Nadine,1943-08-01,914
Nadine,1946-07-05,797
Nadine,1961-04-23,798
Nadine,1984-03-23,548
Nadine,1986-07-15,300
Nadine,1995-12-15,146
Nadine,2000-09-08,657
Nadine,2004-02-03,843
Nadine,2008-08-09,943
Nananne,1910-07-18,753
Nananne,1913-02-14,364
Nananne,1915-06-04,323
Nananne,1945-09-17,1000
Nananne,1947-05-18,508
Nananne,1955-09-15,824
Nananne,1965-10-29,521
Nananne,1973-10-06,981
Nananne,1979-08-05,158
Nananne,1979-08-31,251
Nananne,1986-12-11,155
Nananne,1987-10-14,167
Nananne,1996-05-21,50
Nananne,2002-01-19,433
Nananne,2006-05-01,565
Nananne,2009-01-05,750
Nanete,1901-02-10,420
Nanete,1904-04-04,2
Nanete,1910-05-04,637
Nanete,1911-07-01,710
Nanete,1913-11-28,640
Nanete,1920-12-26,636
Nanete,1925-10-20,37
Nanete,1928-05-17,489
Nanete,1932-06-09,219
Nanete,1935-06-06,633
Nanete,1941-04-27,497
Nanete,1960-06-14,316
Nanete,1960-08-03,342
Nanete,1960-12-25,723
Nanete,1967-04-07,456
Nanete,1979-05-06,141
Nanete,1981-11-05,117
Nanete,1982-06-03,711
Nanete,1996-04-17,95
Nanete,1998-02-01,512
Nanete,2005-03-03,266
Nanete,2019-03-26,69
Nanete,2019-09-07,697
Nannie,1903-05-24,510
Nannie,1906-03-09,894
Nannie,1911-06-15,918
Nannie,1927-01-16,576
Nannie,1943-09-29,573
Nannie,1944-03-31,567
Nannie,1953-05-30,819
Nannie,1954-12-22,589
Nannie,1959-01-07,437
Nannie,1961-07-19,25
Nannie,1964-01-15,894
Nannie,1974-09-04,291
Nannie,1994-05-30,659
Nannie,1997-05-26,548
Nannie,2007-03-16,989
Nariko,1900-11-29,885
Nariko,1903-04-08,974
Nariko,1903-11-26,52
Nariko,1909-10-17,303
Nariko,1913-05-03,746
Nariko,1914-08-08,714
Nariko,1920-05-23,735
Nariko,1924-02-22,673
Nariko,1928-06-08,818
Nariko,1934-10-19,266
Nariko,1942-01-08,900
Nariko,1945-11-13,838
Nariko,1950-01-08,878
Nariko,1955-01-21,680
Nariko,1956-05-29,403
Nariko,1957-11-24,473
Nariko,1966-04-18,999
Nariko,1969-10-18,241
Nariko,1995-04-02,102
Nariko,2003-06-12,465
Nariko,2009-02-01,647
Nataline,1913-06-29,936
Nataline,1929-07-18,660
Nataline,1937-12-03,288
Nataline,1947-03-28,836
Nataline,1954-04-06,675
Nataline,1954-10-03,105
Nataline,1961-11-23,710
Nataline,1968-05-25,680
Nataline,1970-04-28,274
Nataline,1970-07-31,528
Nataline,1971-04-25,587
Nataline,1986-10-09,349
Nataline,1990-11-16,581
Nataline,1996-06-12,933
Nataline,2000-09-02,565
Nataline,2012-11-10,633
Natka,1906-03-04,139
Natka,1906-11-20,251
Natka,1915-03-10,773
Natka,1937-01-16,40
Natka,1939-12-09,139
Natka,1951-07-25,313
Natka,1956-02-06,618
Natka,1963-05-15,513
Natka,1980-01-18,409
Natka,1980-12-02,20
Natka,1983-02-08,139
Natka,1999-11-11,712
Natka,2015-12-06,840
Neila,1902-02-16,644
Neila,1906-02-14,894
Neila,1908-05-01,373
Neila,1908-06-11,881
Neila,1909-07-02,151
Neila,1909-12-29,2
Neila,1940-10-25,567
Neila,1941-06-26,697
Neila,1943-02-11,283
Neila,1946-03-03,226
Neila,1952-03-28,969
Neila,1953-12-10,544
Neila,1984-03-27,865
Neila,1993-10-31,491
Neila,2003-01-24,30
Nelle,1922-12-07,245
Nelle,1931-05-16,505
Nelle,1947-12-14,176
Nelle,1963-06-21,811
Nelle,2004-01-06,913
Nelle,2011-01-20,8
Nerta,1910-07-09,101
Nerta,1924-01-27,308
Nerta,1925-09-23,538
Nerta,1927-06-30,241
Nerta,1941-05-23,776
Nerta,1997-10-13,36
Nerta,1999-10-06,166
Nerta,2008-11-07,686
Nerta,2015-01-07,403
Nessie,1909-01-16,386
Nessie,1915-07-14,131
Nessie,1919-11-16,74
Nessie,1933-05-31,581
Nessie,1956-05-09,97
Nessie,1974-08-31,563
Nessie,1979-06-26,461
Nessie,1986-12-09,363
Nessie,1990-07-22,863
Nessie,1991-09-26,619
Nessie,2009-10-20,957
Nessie,2012-11-29,230
Netty,1902-07-17,406
Netty,1912-04-08,611
Netty,1913-11-20,151
Netty,1914-02-07,710
Netty,1920-11-11,702
Netty,1921-10-30,383
Netty,1922-12-01,88
Netty,1929-12-07,940
Netty,1940-05-28,92
Netty,1940-08-02,910
Netty,1952-12-22,202
Netty,1960-12-10,426
Netty,1992-02-08,245
Netty,2005-02-04,509
Netty,2006-09-18,79
Nickie,1911-10-03,820
Nickie,1919-12-13,99
Nickie,1925-05-31,371
Nickie,1941-08-04,455
Nickie,1944-07-30,821
Nickie,1953-02-24,278
Nickie,1961-03-10,883
Nickie,1970-06-12,747
Nickie,1976-12-22,395
Nickie,1977-05-25,857
Nickie,1997-09-06,586
Nickie,2012-12-13,346
Nicoli,1940-04-17,524
Nicoli,1942-08-18,615
Nicoli,1943-02-13,692
Nicoli,1956-06-13,310
Nicoli,1956-10-25,817
Nicoli,1967-02-19,233
Nicoli,1974-02-15,105
Nicoli,1979-10-26,966
Nicoli,1980-07-01,54
Nicoli,1994-11-30,973
Nicoli,1995-03-11,678
Nicoli,1995-12-26,871
Nicoli,2002-02-07,737
Nicoli,2015-11-09,742
Nikki,1901-06-21,365
Nikki,1906-12-23,60
Nikki,1912-08-23,553
Nikki,1924-10-16,87
Nikki,1926-11-17,352
Nikki,1930-11-10,319
Nikki,1936-12-27,517
Nikki,1940-07-14,520
Nikki,1947-09-01,678
Nikki,1949-12-05,781
Nikki,1968-08-14,632
Nikki,1981-12-01,244
Nikki,1982-12-08,91
Nikki,1987-08-16,112
Nikki,1996-04-21,600
Nikki,1996-12-06,45
Nikki,2001-04-04,573
Nikki,2002-07-08,36
Ninnetta,1900-12-18,468
Ninnetta,1908-10-14,420
Ninnetta,1917-02-02,766
Ninnetta,1920-07-31,306
Ninnetta,1923-08-05,652
Ninnetta,1935-11-15,644
Ninnetta,1938-05-22,223
Ninnetta,1939-05-21,914
Ninnetta,1954-01-21,7
Ninnetta,1956-03-23,91
Ninnetta,1956-07-07,335
Ninnetta,1983-12-09,178
Ninnetta,1984-04-27,947
Ninnetta,2014-06-16,478
Nita,1923-01-08,877
Nita,1931-12-10,707
Nita,1937-09-01,189
Nita,1940-12-26,676
Nita,1961-11-04,783
Nita,1964-02-29,954
Nita,1967-01-03,862
Nita,1973-02-25,945
Nita,1980-11-26,524
Nita,1984-07-18,904
Nita,1990-06-04,115
Nita,1991-05-04,324
Nita,1993-05-20,229
Nita,1997-02-03,986
Nita,1999-07-04,130
Nita,2014-10-09,302
Noelle,1906-07-14,336
Noelle,1908-11-25,958
Noelle,1910-04-22,49
Noelle,1930-08-05,34
Noelle,1932-09-29,820
Noelle,1945-09-10,722
Noelle,1948-10-08,510
Noelle,1954-08-30,628
Noelle,1966-08-01,710
Noelle,1970-08-11,444
Noelle,1971-09-27,931
Noelle,1979-09-27,102
Noelle,1992-05-13,121
Noelle,1998-11-03,85
Noelle,1999-05-26,602
Noelle,2014-04-11,460
Nollie,1900-03-23,273
Nollie,1913-02-15,533
Nollie,1916-07-25,430
Nollie,1916-12-22,700
Nollie,1918-03-18,572
Nollie,1920-06-19,747
Nollie,1932-11-01,126
Nollie,1937-06-16,550
Nollie,1953-11-24,4
Nollie,1963-02-27,905
Nollie,1965-05-05,115
Nollie,1978-10-06,872
Nollie,1979-05-30,704
Nollie,1979-10-07,757
Nollie,1986-02-08,658
Nollie,1987-11-12,818
Nonnah,1914-12-17,916
Nonnah,1926-11-30,824
Nonnah,1950-03-27,503
Nonnah,1950-10-04,440
Nonnah,1951-11-12,754
Nonnah,1958-07-17,660
Nonnah,1959-08-29,698
Nonnah,1960-10-27,757
Nonnah,1961-03-06,756
Nonnah,1963-01-02,833
Nonnah,1965-09-26,29
Nonnah,1966-07-19,333
Nonnah,1975-09-09,45
Nonnah,1976-05-11,158
Nonnah,1978-07-15,384
Nonnah,1979-08-13,780
Nonnah,1996-02-27,491
Nonnah,1997-01-13,263
Nonnah,1998-07-16,513
Nonnah,2009-06-02,587
Nonnah,2011-09-12,964
Nonnah,2015-04-25,726
Nonnah,2018-03-28,350
Norine,1904-07-03,531
Norine,1904-10-15,760
Norine,1910-09-28,129
Norine,1920-06-18,55
Norine,1921-07-06,884
Norine,1925-04-08,647
Norine,1928-05-04,584
Norine,1939-04-30,552
Norine,1944-10-04,677
Norine,1945-06-18,732
Norine,1953-02-18,993
Norine,1959-04-17,976
Norine,1960-04-24,829
Norine,1979-01-28,190
Norine,1979-06-13,629
Norine,2014-10-24,20
Norine,2017-05-02,895
Nyssa,1914-11-15,619
Nyssa,1915-09-10,93
Nyssa,1928-03-06,118
Nyssa,1958-05-18,445
Nyssa,1962-11-14,70
Nyssa,1964-08-05,671
Nyssa,1967-09-04,169
Nyssa,1972-05-08,15
Nyssa,1980-07-10,454
Nyssa,1986-01-29,55
Nyssa,1987-10-27,768
Nyssa,2005-09-17,746
Odessa,1904-02-04,973
Odessa,1904-11-18,77
Odessa,1910-12-16,272
Odessa,1916-02-20,534
Odessa,1926-02-27,641
Odessa,1936-09-14,978
Odessa,1948-05-16,41
Odessa,1971-05-07,918
Odessa,1973-03-09,94
Odessa,1992-04-13,582
Odessa,1999-04-05,235
Ofilia,1901-09-17,295
Ofilia,1903-10-29,975
Ofilia,1910-03-03,167
Ofilia,1911-11-15,226
Ofilia,1912-10-14,108
Ofilia,1916-05-26,851
Ofilia,1935-04-22,11
Ofilia,1945-11-30,628
Ofilia,1946-04-19,814
Ofilia,1956-03-27,51
Ofilia,1971-08-10,764
Ofilia,1979-04-25,689
Ofilia,1981-02-15,299
Ofilia,1996-01-29,235
Ofilia,2003-02-23,156
Ofilia,2011-09-30,372
Olivette,1903-01-15,613
Olivette,1915-05-14,427
Olivette,1922-11-07,975
Olivette,1938-07-15,507
Olivette,1946-06-14,526
Olivette,1963-03-28,330
Olivette,1973-10-20,737
Olivette,1980-04-01,377
Olivette,1992-01-05,298
Olivette,1992-05-04,445
Olivette,2000-07-31,64
Olivette,2004-04-21,83
Olivette,2005-02-26,110
Olivette,2014-02-08,621
Olivette,2018-09-28,502
Olwen,1901-07-26,238
Olwen,1903-02-17,270
Olwen,1903-04-11,629
Olwen,1921-03-23,423
Olwen,1921-06-23,266
Olwen,1922-08-24,663
Olwen,1927-11-16,685
Olwen,1941-06-26,404
Olwen,1949-06-18,39
Olwen,1964-02-07,147
Olwen,1970-10-18,585
Olwen,1992-03-10,868
Olwen,1994-01-11,81
Olwen,1995-07-08,975
Olwen,2001-02-03,627
Olwen,2012-08-09,760
Olwen,2013-06-16,929
Olwen,2014-02-01,780
Olwen,2015-08-26,321
Oona,1904-01-09,554
Oona,1924-11-22,661
Oona,1925-08-30,823
Oona,1941-04-18,617
Oona,1956-08-02,711
Oona,1958-06-03,965
Oona,1961-09-10,949
Oona,1963-05-06,341
Oona,1966-04-16,355
Oona,1975-09-08,131
Oona,1983-11-22,197
Oona,1991-11-01,49
Oona,2003-06-13,954
Oralee,1900-01-29,105
Oralee,1903-04-02,172
Oralee,1903-08-08,424
Oralee,1904-09-25,531
Oralee,1918-12-30,911
Oralee,1943-01-22,702
Oralee,1948-04-25,994
Oralee,1950-03-10,242
Oralee,1950-09-05,424
Oralee,1953-09-16,643
Oralee,1961-08-31,860
Oralee,1964-02-15,250
Oralee,1966-05-13,304
Oralee,1980-01-18,315
Oralee,1993-07-02,123
Oralee,2000-06-23,879
Oralee,2001-07-19,114
Oralee,2005-04-21,202
Oralee,2007-03-09,816
Oralee,2010-02-04,87
Orelia,1901-12-21,418
Orelia,1915-12-21,709
Orelia,1918-04-02,297
Orelia,1920-06-25,199
Orelia,1921-10-03,958
Orelia,1930-07-11,144
Orelia,1934-05-18,521
Orelia,1935-10-01,27
Orelia,1945-02-06,389
Orelia,1945-04-18,487
Orelia,1950-11-16,657
Orelia,1954-11-10,483
Orelia,1960-03-15,239
Orelia,1961-04-10,919
Orelia,2011-12-25,723
Orelia,2012-04-07,728
Orelia,2016-02-19,38
Orelia,2017-09-18,943
Orsola,1904-03-25,947
Orsola,1909-03-18,575
Orsola,1915-03-23,516
Orsola,1922-07-31,985
Orsola,1929-03-26,385
Orsola,1932-04-09,345
Orsola,1936-12-29,856
Orsola,1946-12-05,637
Orsola,1949-07-30,376
Orsola,1949-10-21,461
Orsola,1957-12-25,138
Orsola,1959-08-14,652
Orsola,1981-07-24,58
Orsola,1982-09-28,145
Orsola,1997-10-12,783
Orsola,2001-04-18,615
Orsola,2009-10-02,792
Orsola,2015-04-21,38
Orsola,2019-06-21,609
Ottilie,1908-10-17,48
Ottilie,1922-04-01,207
Ottilie,1940-09-30,666
Ottilie,1942-01-30,185
Ottilie,1953-02-25,213
Ottilie,1961-04-03,906
Ottilie,1975-10-28,938
Ottilie,1982-03-29,468
Ottilie,1999-11-12,493
Ottilie,2000-05-24,871
Pamella,1900-12-15,324
Pamella,1901-09-11,109
Pamella,1918-02-22,448
Pamella,1919-09-16,383
Pamella,1921-11-29,398
Pamella,1926-12-29,938
Pamella,1938-02-25,492
Pamella,1939-09-21,120
Pamella,1941-07-26,270
Pamella,1944-03-22,181
Pamella,1949-08-09,875
Pamella,1956-12-27,839
Pamella,1958-09-22,104
Pamella,1962-06-09,585
Pamella,1976-10-11,471
Pamella,2008-02-29,247
Pamella,2009-10-25,97
Pamella,2018-04-01,723
Paola,1929-01-07,448
Paola,1935-09-06,699
Paola,1965-06-18,39
Paola,1971-08-10,138
Paola,1977-06-15,862
Paola,1989-12-06,183
Paola,2007-01-06,140
Paola,2013-01-07,948
Paola,2014-09-11,537
Patricia,1905-10-30,872
Patricia,1909-05-24,408
Patricia,1926-06-18,324
Patricia,1938-09-24,784
Patricia,1968-02-26,999
Patricia,1972-09-27,69
Patricia,1979-08-11,549
Patricia,1987-07-30,251
Patricia,1990-03-04,259
Patricia,2001-04-28,860
Patricia,2001-05-28,215
Paule,1919-03-29,971
Paule,1926-10-05,578
Paule,1927-02-04,133
Paule,1928-10-23,472
Paule,1963-09-24,378
Paule,1969-12-21,30
Paule,1972-01-14,617
Paule,2001-12-13,460
Paule,2002-08-08,964
Paule,2008-12-06,840
Paule,2009-11-21,584
Paulita,1904-10-04,754
Paulita,1921-05-19,788
Paulita,1929-11-06,509
Paulita,1938-03-03,627
Paulita,1944-10-21,878
Paulita,1947-02-19,495
Paulita,1957-10-25,9
Paulita,1981-12-11,72
Paulita,1988-04-19,94
Paulita,1990-04-08,327
Paulita,2007-07-23,883
Paulita,2011-08-30,725
Paulita,2012-08-11,791
Pearline,1918-01-11,357
Pearline,1921-02-24,972
Pearline,1921-08-21,490
Pearline,1961-10-27,436
Pearline,1983-08-13,50
Pearline,2002-03-04,720
Pearline,2003-12-20,398
Pearline,2014-09-13,191
Pearline,2015-01-01,380
Pearline,2015-05-10,118
Pearline,2017-02-26,353
Penelopa,1903-11-04,606
Penelopa,1904-12-13,502
Penelopa,1907-01-27,428
Penelopa,1913-06-29,258
Penelopa,1914-02-18,165
Penelopa,1925-12-13,179
Penelopa,1938-05-02,168
Penelopa,1947-07-25,424
Penelopa,1952-08-30,694
Penelopa,1978-11-22,652
Penelopa,1983-10-29,201
Penelopa,2010-03-05,90
Penelopa,2012-03-05,603
Peri,1902-03-04,354
Peri,1906-12-17,567
Peri,1934-09-12,764
Peri,1938-04-27,263
Peri,1941-02-18,486
Peri,1941-10-30,340
Peri,1945-11-10,52
Peri,1947-11-25,640
Peri,1957-04-25,82
Peri,1978-10-15,431
Peri,1984-03-30,727
Peri,1984-07-11,29
Peri,1986-09-04,803
Peri,1987-07-13,9
Peri,1988-11-07,50
Peri,1997-05-08,864
Peri,1997-08-30,812
Peri,1999-04-30,22
Peri,2008-11-10,158
Peri,2015-06-01,112
Perry,1900-06-21,627
Perry,1905-01-05,768
Perry,1913-10-21,18
Perry,1922-07-22,510
Perry,1925-09-05,907
Perry,1928-04-21,547
Perry,1929-01-27,377
Perry,1934-03-26,634
Perry,1939-04-28,11
Perry,1942-12-27,965
Perry,1955-12-10,626
Perry,1965-04-23,173
Perry,1983-09-13,33
Perry,1990-08-14,982
Perry,1996-08-21,156
Perry,1997-11-28,702
Perry,2010-05-02,404
Petronia,1915-10-22,973
Petronia,1915-11-21,324
Petronia,1926-10-12,511
Petronia,1928-10-14,374
Petronia,1938-11-14,930
Petronia,1951-02-11,48
Petronia,1953-11-09,400
Petronia,1956-04-07,758
Petronia,1957-02-25,523
Petronia,1964-05-24,346
Petronia,1974-04-03,515
Petronia,1976-10-08,328
Petronia,1980-07-18,545
Petronia,1981-08-20,104
Petronia,1988-09-30,114
Petronia,2003-01-14,630
Petronia,2007-08-05,461
Phedra,1913-05-17,769
Phedra,1915-06-13,346
Phedra,1920-06-14,265
Phedra,1922-01-16,340
Phedra,1926-05-15,296
Phedra,1928-09-20,24
Phedra,1937-01-13,817
Phedra,1943-12-11,29
Phedra,1949-10-20,558
Phedra,1953-01-16,722
Phedra,1957-06-29,682
Phedra,1963-11-26,215
Phedra,1987-11-20,531
Phedra,1994-01-10,113
Phedra,1997-06-10,448
Phedra,2003-05-24,895
Phedra,2011-06-17,649
Phedra,2017-04-23,718
Philis,1905-02-24,545
Philis,1910-05-17,81
Philis,1918-12-31,695
Philis,1919-12-01,681
Philis,1926-11-04,106
Philis,1942-05-20,749
Philis,1947-09-01,403
Philis,1962-08-16,769
Philis,1977-03-30,616
Philis,1985-06-17,635
Philis,1985-07-23,851
Philis,2003-10-04,367
Philis,2011-06-19,533
Philis,2014-02-14,623
Philis,2019-03-19,329
Phylis,1912-08-19,421
Phylis,1916-12-01,16
Phylis,1947-03-16,535
Phylis,1947-07-03,660
Phylis,1957-06-16,959
Phylis,1963-01-13,137
Phylis,1965-05-09,677
Phylis,1974-07-15,759
Phylis,1975-04-14,339
Phylis,1984-05-07,409
Phylis,1990-10-03,767
Phylis,2001-09-25,95
Phylis,2002-01-07,477
Phylis,2005-01-30,329
Phylis,2013-08-27,150
Phylis,2015-02-02,844
Phylis,2016-07-13,383
Phylis,2018-12-19,335
Pierette,1903-09-14,22
Pierette,1929-02-18,417
Pierette,1939-08-04,676
Pierette,1950-12-11,263
Pierette,1951-05-30,410
Pierette,1955-04-12,647
Pierette,1962-05-06,69
Pierette,1968-10-23,771
Pierette,1981-03-13,629
Pierette,1981-10-17,553
Pierette,1988-05-25,358
Pierette,1990-09-01,684
Pierette,1993-10-23,419
Pierette,1996-10-27,568
Pollyanna,1903-02-27,947
Pollyanna,1903-10-03,24
Pollyanna,1908-10-11,215
Pollyanna,1912-03-15,235
Pollyanna,1916-09-05,148
Pollyanna,1941-08-24,516
Pollyanna,1953-03-07,217
Pollyanna,1954-12-22,53
Pollyanna,1976-02-11,174
Pollyanna,1977-09-09,730
Pollyanna,2011-01-31,576
Pollyanna,2012-09-11,163
Priscilla,1903-10-24,590
Priscilla,1905-08-28,957
Priscilla,1911-08-27,42
Priscilla,1916-01-23,557
Priscilla,1916-08-10,942
Priscilla,1924-05-20,964
Priscilla,1932-08-16,885
Priscilla,1942-01-09,222
Priscilla,1942-01-24,504
Priscilla,1943-01-15,889
Priscilla,1950-11-11,146
Priscilla,1955-10-09,369
Priscilla,1970-08-02,727
Priscilla,1973-04-17,9
Priscilla,1976-08-05,597
Priscilla,1980-02-27,69
Priscilla,1994-11-15,770
Priscilla,1997-05-03,435
Priscilla,2000-05-09,514
Priscilla,2004-08-25,888
Queenie,1922-11-20,457
Queenie,1923-11-23,590
Queenie,1960-06-17,791
Queenie,1965-07-02,383
Queenie,1972-06-01,675
Queenie,1996-06-17,512
Queenie,1997-07-29,13
Queenie,2004-09-12,967
Queenie,2005-01-12,55
Queenie,2009-08-29,679
Queenie,2012-07-18,292
Queenie,2015-12-13,699
Queenie,2016-07-04,852
Quintina,1903-08-23,32
Quintina,1910-07-26,108
Quintina,1913-03-31,927
Quintina,1921-01-17,447
Quintina,1937-10-11,930
Quintina,1944-08-18,452
Quintina,1979-03-30,873
Quintina,1987-10-03,326
Quintina,1996-11-27,634
Quintina,2000-08-28,247
Raf,1906-10-08,178
Raf,1909-10-07,426
Raf,1910-06-13,471
Raf,1928-04-18,561
Raf,1928-07-10,533
Raf,1947-11-30,621
Raf,1959-04-15,875
Raf,1959-05-27,520
Raf,1963-03-17,757
Raf,1977-04-19,779
Raf,1985-10-12,791
Raf,1994-11-01,255
Raf,1995-02-01,822
Raf,2012-08-02,428
Raf,2013-07-07,209
Raina,1921-03-15,243
Raina,1923-03-16,807
Raina,1923-05-21,231
Raina,1927-06-20,199
Raina,1928-02-17,129
Raina,1934-11-12,749
Raina,1943-07-28,916
Raina,1950-02-03,662
Raina,1957-06-11,904
Raina,1965-10-05,880
Raina,1967-11-05,538
Raina,1970-03-20,851
Raina,2000-05-28,884
Raina,2008-10-28,197
Raina,2014-08-31,772
Raina,2019-03-28,215
Randa,1903-07-13,398
Randa,1915-07-21,426
Randa,1936-06-11,374
Randa,1938-08-06,505
Randa,1942-01-28,327
Randa,1960-07-11,952
Randa,1980-11-06,611
Randa,1983-12-14,46
Randa,1995-01-17,918
Randa,2006-12-16,786
Randa,2009-12-04,820
Randa,2014-11-01,500
Rani,1926-09-22,935
Rani,1930-11-12,509
Rani,1936-03-28,63
Rani,1949-11-26,625
Rani,1951-10-18,825
Rani,1953-10-21,406
Rani,1960-11-29,878
Rani,1962-01-03,278
Rani,1969-03-23,654
Rani,1974-03-21,585
Rani,1977-02-06,942
Rani,1977-12-30,229
Rani,1988-07-24,322
Rani,1993-12-24,218
Rani,1996-08-08,203
Rani,2011-08-27,708
Rani,2012-11-18,107
Raquela,1902-10-03,440
Raquela,1905-05-22,616
Raquela,1918-02-25,942
Raquela,1936-01-02,473
Raquela,1937-10-01,317
Raquela,1952-07-02,861
Raquela,1958-07-07,932
Raquela,1980-05-11,881
Raquela,1981-12-28,800
Raquela,1987-11-02,422
Raquela,1989-08-27,893
Raquela,1998-07-14,299
Raquela,2002-09-16,301
Raquela,2008-10-26,34
Raquela,2016-01-27,818
Rayna,1916-09-30,776
Rayna,1923-06-19,31
Rayna,1933-02-27,566
Rayna,1937-03-02,965
Rayna,1937-07-08,368
Rayna,1942-02-16,431
Rayna,1943-12-22,954
Rayna,1945-02-08,1
Rayna,1953-03-13,383
Rayna,1962-07-28,735
Rayna,2006-01-20,111
Rayna,2010-09-28,318
Rebeca,1907-12-02,189
Rebeca,1909-04-11,884
Rebeca,1909-09-08,846
Rebeca,1924-12-12,523
Rebeca,1951-11-04,265
Rebeca,1959-07-27,675
Rebeca,1978-01-03,767
Rebeca,1989-11-11,523
Reeba,1924-09-25,496
Reeba,1926-09-23,45
Reeba,1931-09-11,725
Reeba,1937-05-06,65
Reeba,1957-04-28,431
Reeba,1962-01-28,24
Reeba,1962-06-04,684
Reeba,1963-04-14,516
Reeba,1990-07-30,365
Reeba,2008-07-28,702
Reeba,2013-05-13,23
Reeba,2014-09-27,712
Reeba,2018-01-12,615
Regina,1924-05-31,963
Regina,1941-09-20,860
Regina,1950-12-15,719
Regina,1999-06-22,598
Renae,1902-11-16,120
Renae,1911-07-23,654
Renae,1916-09-08,931
Renae,1928-10-20,981
Renae,1938-06-29,836
Renae,1950-10-23,442
Renae,1951-04-02,843
Renae,1960-01-10,933
Renae,1960-02-28,317
Renae,1961-10-27,720
Renae,1963-07-27,383
Renae,1969-12-08,713
Renae,1987-02-10,898
Renae,1987-12-01,276
Renae,1988-02-29,580
Renae,1990-12-24,408
Renae,1992-03-01,636
Renae,2001-10-09,972
Renae,2002-08-13,463
Renae,2007-02-16,822
Renae,2011-01-04,849
Renie,1923-05-25,951
Renie,1960-06-27,375
Renie,1961-09-28,85
Renie,1977-01-30,490
Renie,2003-04-16,481
Renie,2005-06-08,701
Renie,2010-06-14,367
Renie,2017-03-24,662
Renie,2017-12-01,913
Rhea,1913-01-12,180
Rhea,1922-02-13,241
Rhea,1934-07-08,182
Rhea,1943-10-10,207
Rhea,1945-08-09,259
Rhea,1961-12-20,786
Rhea,1965-09-15,307
Rhea,1977-02-13,518
Rhea,1978-01-11,180
Rhea,1995-05-10,275
Rhea,2002-04-14,539
Rhea,2003-12-30,249
Rhea,2006-02-04,381
Rhea,2013-11-23,389
Rhea,2015-07-21,999
Rhoda,1916-05-30,395
Rhoda,1917-03-21,756
Rhoda,1920-01-09,18
Rhoda,1920-03-15,111
Rhoda,1924-01-22,865
Rhoda,1930-09-22,611
Rhoda,1941-09-10,477
Rhoda,1960-08-30,936
Rhoda,1972-09-22,270
Rhoda,1984-01-22,329
Rhoda,1994-12-22,11
Rhoda,1995-08-16,226
Rhoda,2010-04-27,906
Rhoda,2015-05-19,6
Riannon,1912-05-07,767
Riannon,1923-01-12,262
Riannon,1942-12-05,106
Riannon,1956-08-23,735
Riannon,1957-12-23,731
Riannon,1959-10-17,74
Riannon,1963-01-02,973
Riannon,1965-02-26,459
Riannon,1988-05-19,441
Riannon,1990-10-10,603
Riannon,2001-04-23,987
Riannon,2007-09-11,285
Riannon,2015-04-26,44
Riannon,2017-07-06,473
Ricky,1911-04-19,554
Ricky,1916-05-21,105
Ricky,1919-06-03,516
Ricky,1923-11-04,704
Ricky,1927-06-07,572
Ricky,1928-01-22,571
Ricky,1934-11-22,992
Ricky,1943-09-23,38
Ricky,1944-05-12,609
Ricky,1947-08-24,166
Ricky,1949-04-07,284
Ricky,1967-01-09,442
Ricky,1979-07-10,422
Ricky,1994-04-04,229
Ricky,1994-12-20,492
Ricky,1995-03-28,418
Ricky,2002-02-24,421
Ricky,2011-01-18,709
Rivalee,1907-02-27,402
Rivalee,1913-04-14,9
Rivalee,1932-03-23,64
Rivalee,1947-02-03,36
Rivalee,1947-07-25,138
Rivalee,1950-06-23,990
Rivalee,1956-03-19,827
Rivalee,1957-03-13,11
Rivalee,1961-06-27,859
Rivalee,1980-12-26,474
Rivalee,1992-10-02,801
Rivalee,2005-09-25,366
Rivalee,2007-05-10,33
Rivalee,2012-09-15,84
Robbi,1900-06-06,863
Robbi,1906-09-09,717
Robbi,1908-05-03,117
Robbi,1926-11-05,947
Robbi,1928-08-21,993
Robbi,1934-02-12,297
Robbi,1954-02-27,257
Robbi,1961-12-29,329
Robbi,1965-02-07,643
Robbi,1968-04-16,638
Robbi,1968-09-09,849
Robbi,1968-11-14,245
Robbi,1970-06-26,858
Robbi,1972-01-01,832
Robbi,1976-11-13,624
Robbi,1981-01-18,266
Robbi,1987-05-30,30
Robbi,1989-07-02,985
Robbi,1997-10-11,983
Robbi,1999-12-05,646
Robbi,2013-08-26,131
Robbi,2015-11-23,893
Roberta,1903-11-27,929
Roberta,1907-07-08,195
Roberta,1919-09-30,701
Roberta,1923-03-23,868
Roberta,1930-07-08,37
Roberta,1948-02-22,94
Roberta,1948-09-18,603
Roberta,1950-03-02,883
Roberta,1964-07-26,379
Roberta,1967-12-14,202
Roberta,1982-08-15,158
Roberta,1992-04-03,547
Roberta,1992-07-15,775
Roberta,2000-07-19,613
Roberta,2003-02-19,222
Roberta,2006-04-07,342
Roberta,2007-11-20,76
Roberta,2010-08-19,703
Robinia,1914-07-30,482
Robinia,1915-10-09,983
Robinia,1916-12-16,8
